time,source,destination,cwnd,mss
2024-11-11T17:24:16.137, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:16.978, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:16.978, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:16.978, 10.0.3.101:51608, 10.0.1.101:5210, 11, 1448, 1063552
2024-11-11T17:24:16.978, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:16.978, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:16.978, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:16.978, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:16.978, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:17.905, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:17.905, 10.0.2.101:35730, 10.0.1.101:5211, 13, 1448, 1063552
2024-11-11T17:24:17.905, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:17.905, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:17.905, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:17.905, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:17.905, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:17.905, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:18.868, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:18.868, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:18.868, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:18.868, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:18.868, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:18.868, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:18.868, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:18.868, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:19.772, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:19.772, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:19.772, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:19.772, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:19.772, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:19.772, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:19.772, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:19.772, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:20.611, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:20.611, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:20.611, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:20.611, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:20.611, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:20.611, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:20.611, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:20.611, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:21.297, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:21.297, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:21.297, 10.0.3.101:51608, 10.0.1.101:5210, 13, 1448, 1063552
2024-11-11T17:24:21.297, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:21.297, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:21.297, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:21.297, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:21.297, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:22.310, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:22.310, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:22.310, 10.0.3.101:51608, 10.0.1.101:5210, 13, 1448, 1063552
2024-11-11T17:24:22.310, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:22.310, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:22.310, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:22.310, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
